id_subsistema;id_estado;nom_modalidadeoperacao;nom_conjuntousina;nom_usina;id_ons;ceg;din_instante;val_ventoverificado;flg_dadoventoinvalido;val_geracaoestimada;val_geracaoverificada
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Juazeiro;BAEJUA;EOL.CV.BA.032106-0.01;2025-05-01 00:30:00;15.017;0.0;13.381;6.838
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Laranjeiras I;BAELA1;EOL.CV.BA.032349-7.01;2025-05-01 00:30:00;1.118;0.0;0.122;0.0
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Laranjeiras II;BAELA2;EOL.CV.BA.032350-0.01;2025-05-01 00:30:00;0.793;0.0;0.062;0.0
NE;BA;Tipo II-C;Conj. Laranjeiras;Laranjeiras III;BAELA3;EOL.CV.BA.033626-2.01;2025-05-01 00:30:00;2.842;0.0;0.6;0.286
NE;BA;Tipo II-C;Conj. Laranjeiras;Laranjeiras IX;BAELA9;EOL.CV.BA.033627-0.01;2025-05-01 00:30:00;3.673;0.0;0.999;0.526
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Laranjeiras V;BAELA5;EOL.CV.BA.032351-9.01;2025-05-01 00:30:00;1.057;0.0;0.102;0.044
NE;BA;Tipo II-C;Conj. Igaporã II;Licínio de Almeida;BAUELA;EOL.CV.BA.030317-8.01;2025-05-01 00:30:00;11.33;0.0;21.715;23.208
NE;BA;Tipo II-C;Conj. Brotas de Macaúbas;Macaúbas;BAUEMC;EOL.CV.BA.030283-0.01;2025-05-01 00:30:00;9.273;0.0;25.409;25.99
NE;BA;Tipo II-C;Conj. Serra Azul;Maniçoba;BAUEMN;EOL.CV.BA.031337-8.01;2025-05-01 00:30:00;10.322;0.0;23.705;10.309
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Manineiro;BAEMNN;EOL.CV.BA.032245-8.01;2025-05-01 00:30:00;12.004;0.0;12.571;9.219
NE;BA;Tipo II-C;Conj. Araçás;Maron;BAUEMA;EOL.CV.BA.030768-8.01;2025-05-01 00:30:00;9.889;0.0;24.814;25.638
NE;BA;Tipo II-C;Conj. Morrão;Morrão;BAUEMR;EOL.CV.BA.030506-5.01;2025-05-01 00:30:00;11.409;0.0;28.558;27.945
NE;BA;Tipo II-C;Conj. Brotas de Macaúbas;Morro 1;BAMOR1;EOL.CV.BA.050844-6.01;2025-05-01 00:30:00;12.31;0.0;40.679;29.706
NE;BA;Tipo II-C;Conj. Brotas de Macaúbas;Morro 2;BAMOR2;EOL.CV.BA.050845-4.01;2025-05-01 00:30:00;13.769;0.0;31.122;31.533
NE;BA;Tipo II-C;Conj. Pedra Branca;Morro Branco I;BAEMBU;EOL.CV.BA.031336-0.01;2025-05-01 00:30:00;9.594;0.0;18.949;16.288
NE;BA;Tipo II-C;Conj. Arizona;Morro Branco II;BAMBD;EOL.CV.BA.032417-5.01;2025-05-01 00:30:00;12.307;0.0;26.557;26.803
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Mulungu;BAEMLG;EOL.CV.BA.032362-4.01;2025-05-01 00:30:00;14.055;0.0;12.529;6.912
NE;BA;Tipo II-C;Conj. Pedra Branca;Mussambê;BAEMUS;EOL.CV.BA.031352-1.01;2025-05-01 00:30:00;10.849;0.0;19.871;15.506
NE;BA;Tipo II-C;Conj. Igaporã II;Nossa Senhora da Conceição;BAUENC;EOL.CV.BA.030318-6.01;2025-05-01 00:30:00;10.553;0.0;26.657;28.175
NE;BA;Tipo II-C;Conj. Brotas de Macaúbas;Novo Horizonte;BAUENH;EOL.CV.BA.030305-4.01;2025-05-01 00:30:00;13.945;0.0;28.607;27.41
NE;BA;Tipo II-C;Conj. Oitis;Oitis 21;BAOI21;EOL.CV.BA.044360-3.01;2025-05-01 00:30:00;7.789;0.0;19.927;16.246
NE;BA;Tipo II-C;Conj. Oitis;Oitis 22;BAOI22;EOL.CV.BA.044361-1.01;2025-05-01 00:30:00;7.207;0.0;19.246;12.729
NE;BA;Tipo II-C;Conj. Igaporã II;Pajeú do Vento;BAUEPV;EOL.CV.BA.030319-4.01;2025-05-01 00:30:00;11.22;0.0;24.595;25.942
NE;BA;Tipo II-C;Conj. GPEXPAN;Papagaio;BAEPPG;EOL.CV.BA.031511-7.01;2025-05-01 00:30:00;3.1;1.0;0.0;3.633
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Pau D'Água;BAEPDA;EOL.CV.BA.032246-6.01;2025-05-01 00:30:00;13.409;0.0;11.352;10.978
NE;BA;Tipo II-C;Conj. Pindaí II 230 kV;Pau Santo;BAEPSA;EOL.CV.BA.032363-2.01;2025-05-01 00:30:00;9.851;0.0;12.922;10.889
NE;BA;Tipo II-C;Conj. Pedra Branca;Pedra Branca;BAUEPB;EOL.CV.BA.030443-3.01;2025-05-01 00:30:00;7.638;0.0;16.824;19.473
NE;BA;Tipo II-C;Conj. Ourolândia II;Pedra Pintada I;BAPP01;EOL.CV.BA.049142-0.01;2025-05-01 00:30:00;10.477;0.0;42.191;46.806
NE;BA;Tipo II-C;Conj. Ourolândia II;Pedra Pintada II;BAPP02;EOL.CV.BA.049143-8.01;2025-05-01 00:30:00;9.948;0.0;39.292;44.276
NE;BA;Tipo II-C;Conj. Ourolândia II;Pedra Pintada III;BAPP03;EOL.CV.BA.049144-6.01;2025-05-01 00:30:00;9.012;0.0;30.819;36.645
NE;BA;Tipo II-C;Conj. Ourolândia II;Pedra Pintada IV;BAPP04;EOL.CV.BA.049145-4.01;2025-05-01 00:30:00;6.997;0.0;14.231;23.82
NE;BA;Tipo II-C;Conj. Pelourinho;Pelourinho;BAUEPO;EOL.CV.BA.030793-9.01;2025-05-01 00:30:00;0.0;1.0;0.0;19.321
NE;BA;Tipo II-C;Conj. Araçás;Pilões;BAUEPI;EOL.CV.BA.030776-9.01;2025-05-01 00:30:00;8.845;0.0;17.266;16.543
NE;BA;Tipo II-C;Conj. Igaporã II;Pindaí;BAUEPD;EOL.CV.BA.030324-0.01;2025-05-01 00:30:00;11.52;0.0;22.439;24.311
NE;BA;Tipo II-C;Conj. Igaporã II;Planaltina;BAUEPT;EOL.CV.BA.030322-4.01;2025-05-01 00:30:00;10.993;0.0;25.29;27.623
NE;BA;Tipo II-C;Conj. Igaporã II;Porto Seguro;BAUEPS;EOL.CV.BA.030323-2.01;2025-05-01 00:30:00;13.957;0.0;6.523;6.587
NE;BA;Tipo II-C;Conj. Cristal;Primavera;BAUEPR;EOL.CV.BA.030726-2.01;2025-05-01 00:30:00;10.881;0.0;27.321;29.444
