t_rel,cpu_pct,cpu_pct_host,proc_cpu_raw,cont_mem_used_gb,proc_rss_gb,ram_used_host_gb,gpu_util_pct,gpu_mem_gb,round
7.015608072280884,100.0,19.8,200.6,3.9999465942382812,2.9269142150878906,7.413249969482422,78.0,3.97705078125,2
8.016170501708984,99.45,20.1,198.9,3.99993896484375,2.9269142150878906,7.39080810546875,100.0,3.99359130859375,2
9.01670527458191,99.95,21.2,199.9,3.9992713928222656,2.926929473876953,7.393421173095703,78.0,3.98834228515625,2
10.017195701599121,99.45,18.7,198.9,3.999267578125,2.926929473876953,7.395236968994141,100.0,3.9818115234375,2
11.017666816711426,99.45,18.9,198.9,3.9999961853027344,2.92694091796875,7.395343780517578,78.0,3.98028564453125,2
12.01828122138977,99.45,18.4,198.9,3.9995155334472656,2.9269561767578125,7.3908843994140625,78.0,3.97247314453125,2
13.018779993057251,99.95,19.7,199.9,3.9995155334472656,2.9269638061523438,7.393680572509766,78.0,3.963134765625,2
14.019296646118164,100.0,18.8,200.9,3.999927520751953,2.9269676208496094,7.3896942138671875,78.0,3.957275390625,2
15.019873142242432,99.45,20.7,198.9,3.9990310668945312,2.926971435546875,7.393928527832031,78.0,3.96734619140625,2
16.02039122581482,97.95,20.0,195.9,3.9997634887695312,2.926971435546875,7.395606994628906,78.0,3.95562744140625,2
17.02099585533142,100.0,21.1,202.9,3.9995155334472656,2.926982879638672,7.411407470703125,77.0,3.943603515625,2
18.021544218063354,99.45,18.8,198.9,3.9998321533203125,2.926982879638672,7.411533355712891,77.0,3.9256591796875,2
19.022435188293457,100.0,18.6,200.8,3.9999008178710938,2.926982879638672,7.416229248046875,77.0,3.9256591796875,2
20.022994995117188,98.95,18.8,197.9,3.9995155334472656,2.926982879638672,7.414237976074219,76.0,3.90838623046875,2
21.023609399795532,99.45,19.3,198.9,3.9998435974121094,2.926982879638672,7.412380218505859,76.0,3.8795166015625,2
22.024189233779907,100.0,18.9,200.9,3.9998207092285156,2.927021026611328,7.402660369873047,76.0,3.87811279296875,2
23.025041103363037,100.0,20.3,200.8,3.9997596740722656,2.927021026611328,7.423393249511719,76.0,3.88323974609375,2
24.02584457397461,99.9,20.0,199.8,3.9998092651367188,2.927021026611328,7.426177978515625,52.0,3.88323974609375,2
