Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
S;PR;CIANORTE;OLIVEIRA, BASSO & CIA LTDA;01.496.270/0001-06;AVENIDA AMERICA;1480;;PARQUE RESIDENCIAL AMERICA;87200-000;GASOLINA;01/07/2004;2,08;1,878;R$ / litro;IPIRANGA
S;PR;CIANORTE;OLIVEIRA, BASSO & CIA LTDA;01.496.270/0001-06;AVENIDA AMERICA;1480;;PARQUE RESIDENCIAL AMERICA;87200-000;ETANOL;01/07/2004;0,92;0,608;R$ / litro;IPIRANGA
S;PR;CIANORTE;OLIVEIRA, BASSO & CIA LTDA;01.496.270/0001-06;AVENIDA AMERICA;1480;;PARQUE RESIDENCIAL AMERICA;87200-000;DIESEL;01/07/2004;1,49;1,365;R$ / litro;IPIRANGA
SE;RJ;RIO BONITO;AUTO POSTO SAMBE LTDA;28.942.605/0001-10;AVENIDA MARTINHO ALMEIDA;350;;PRACA CRUZEIRO;28800-000;GASOLINA;01/07/2004;2,07;;R$ / litro;CBPI
SE;RJ;RIO BONITO;AUTO POSTO SAMBE LTDA;28.942.605/0001-10;AVENIDA MARTINHO ALMEIDA;350;;PRACA CRUZEIRO;28800-000;ETANOL;01/07/2004;0,96;;R$ / litro;CBPI
SE;RJ;RIO BONITO;AUTO POSTO SAMBE LTDA;28.942.605/0001-10;AVENIDA MARTINHO ALMEIDA;350;;PRACA CRUZEIRO;28800-000;DIESEL;01/07/2004;1,4;;R$ / litro;CBPI
SE;RJ;RIO BONITO;AUTO POSTO RIO BONITO LTDA;31.515.687/0001-21;RUA DR MATTOS;441;;CENTRO;28800-000;GASOLINA;01/07/2004;2,099;1,88803;R$ / litro;CBPI
SE;RJ;RIO BONITO;AUTO POSTO RIO BONITO LTDA;31.515.687/0001-21;RUA DR MATTOS;441;;CENTRO;28800-000;ETANOL;01/07/2004;0,999;0,8137;R$ / litro;CBPI
SE;RJ;RIO BONITO;AUTO POSTO RIO BONITO LTDA;31.515.687/0001-21;RUA DR MATTOS;441;;CENTRO;28800-000;DIESEL;01/07/2004;1,48;1,2685;R$ / litro;CBPI
SE;RJ;RIO BONITO;AUTO POSTO ANDRADE COSCARELLI LTDA.;02.496.091/0001-23;AVENIDA MANOEL DUARTE;947;;CENTRO;28800-000;GASOLINA;01/07/2004;2,097;;R$ / litro;COSAN LUBRIFICANTES
SE;RJ;RIO BONITO;AUTO POSTO ANDRADE COSCARELLI LTDA.;02.496.091/0001-23;AVENIDA MANOEL DUARTE;947;;CENTRO;28800-000;ETANOL;01/07/2004;1,098;;R$ / litro;COSAN LUBRIFICANTES
SE;RJ;RIO BONITO;AUTO POSTO ANDRADE COSCARELLI LTDA.;02.496.091/0001-23;AVENIDA MANOEL DUARTE;947;;CENTRO;28800-000;DIESEL;01/07/2004;1,479;;R$ / litro;COSAN LUBRIFICANTES
SE;RJ;RIO BONITO;POSTO GARANTIA LTDA;31.513.302/0001-97;RODOVIA BR 101 KM 64 S/N;S/N;KM 254,80;POSSE;28800-000;GASOLINA;01/07/2004;2,09;;R$ / litro;BRANCA
SE;RJ;RIO BONITO;POSTO GARANTIA LTDA;31.513.302/0001-97;RODOVIA BR 101 KM 64 S/N;S/N;KM 254,80;POSSE;28800-000;ETANOL;01/07/2004;0,99;;R$ / litro;BRANCA
SE;RJ;RIO BONITO;POSTO GARANTIA LTDA;31.513.302/0001-97;RODOVIA BR 101 KM 64 S/N;S/N;KM 254,80;POSSE;28800-000;DIESEL;01/07/2004;1,34;;R$ / litro;BRANCA
SE;RJ;RIO BONITO;POSTO OLIVEIRA LTDA;28.621.019/0001-74;ESTRADA BR 101;49 50;KM;PRIMEIRO;28800-000;GASOLINA;01/07/2004;2,099;1,8996;R$ / litro;RAIZEN
SE;RJ;RIO BONITO;POSTO OLIVEIRA LTDA;28.621.019/0001-74;ESTRADA BR 101;49 50;KM;PRIMEIRO;28800-000;ETANOL;01/07/2004;1,099;0,6795;R$ / litro;RAIZEN
SE;RJ;RIO BONITO;POSTO OLIVEIRA LTDA;28.621.019/0001-74;ESTRADA BR 101;49 50;KM;PRIMEIRO;28800-000;DIESEL;01/07/2004;1,39;1,2907;R$ / litro;RAIZEN
SE;RJ;RIO BONITO;AUTO POSTO FERRAZ LTDA;04.288.876/0001-36;AVENIDA JOAO CAETANO;600;;PRACA CRUZEIRO;28800-000;GASOLINA;01/07/2004;2,098;1,9119;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;RJ;RIO BONITO;AUTO POSTO FERRAZ LTDA;04.288.876/0001-36;AVENIDA JOAO CAETANO;600;;PRACA CRUZEIRO;28800-000;ETANOL;01/07/2004;1,05;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;RJ;RIO BONITO;AUTO POSTO FERRAZ LTDA;04.288.876/0001-36;AVENIDA JOAO CAETANO;600;;PRACA CRUZEIRO;28800-000;DIESEL;01/07/2004;1,409;1,2602;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
