Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S27561700017,08/27/2015,4807,Williamsburg Foods,"103, W WALNUT ST",WILLIAMSBURG,52361,POINT (-92.007391 41.662819),48,Iowa,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81208,Paramount Peppermint Schnapps,6,1750,7.08,10.62,6,63.72,10.50,2.77
S13398900019,07/17/2013,2958,Dahl's / E 33rd,3400 E 33 ST,DES MOINES,50317,POINT (-93.551522 41.62616),77,Polk,1042100,IMPORTED DRY GINS,260,Diageo Americas,28866,Tanqueray Gin,12,750,11.50,17.49,12,209.88,9.00,2.38
S10128600032,01/21/2013,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081300,PEPPERMINT SCHNAPPS,380,Phillips Beverage Company,83370,Ice Hole Mint Schnapps,12,750,5.15,7.73,1,7.73,0.75,0.20
S15858100015,11/21/2013,4637,Kwik Shop #560 / Cedar Rapids,3301 J ST,CEDAR RAPIDS,52404,POINT (-91.666812 41.944676),57,Linn,1012100,CANADIAN WHISKIES,260,Diageo Americas,11296,Crown Royal,12,750,14.75,22.13,3,66.39,2.25,0.59
S25231400016,04/22/2015,5017,Lansing IGA,417 MAIN ST,LANSING,52151,POINT (-91.219222 43.36182),03,Allamakee,1081700,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76036,Midnight Moon Apple Pie,6,750,11.50,17.25,3,51.75,2.25,0.59
S18267100028,04/07/2014,2662,Hy-Vee Wine & Spirits / Muscatine,"522 MULBERRY, SUITE A",MUSCATINE,52761,POINT (-91.04437 41.426615),70,Muscatine,1071100,AMERICAN COCKTAILS,55,Sazerac North America,80058,Chi-Chi's Orange Cream,6,1750,6.00,9.25,6,55.50,10.50,2.77
S22127900025,11/03/2014,4633,Kwik Shop #520 / Carter Lake,1202 EAST LOCUST ST,CARTER LAKE,51510,,78,Pottawattamie,1071100,AMERICAN COCKTAILS,395,Proximo,58866,Jose Cuervo Authentic Strawberry Margarita,12,750,4.62,6.93,4,27.72,3.00,0.79
S07151400063,08/16/2012,2513,Hy-Vee Food Store #2 / Iowa City,812  S 1ST AVE,IOWA CITY,52240,,52,Johnson,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,389,REMY COINTREAU USA         .,65896,Metaxa Ouzo,12,750,9.49,14.24,2,28.48,1.50,0.40
S14404000021,09/09/2013,3907,Smokin' Joe's #16 Tobacco and Liquor,1504 PARK AVE,MUSCATINE,52761,POINT (-91.030569 41.442458),70,Muscatine,1031080,VODKA 80 PROOF,297,Laird And Company,35913,Five O'clock Vodka,48,200,1.13,1.69,10,16.90,2.00,0.53
S13277000084,07/10/2013,3820,"Charlie's Wine and Spirits,",507 W 19th St,SIOUX CITY,51103,POINT (-96.420193 42.510535),97,Woodbury,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34422,Grey Goose Vodka,6,1000,21.77,32.66,12,391.92,12.00,3.17
S16729700013,01/08/2014,3855,Dyno's Wine and Spirits / Storm Lake,1201 1/2 LAKESHORE DR,STORM LAKE,50588,,11,Buena Vista,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19066,Jim Beam,12,750,9.70,14.95,3,44.85,2.25,0.59
S11218700031,03/21/2013,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1032200,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34029,Absolut Citron (lemon Vodka),12,1000,15.00,22.49,60,1349.40,60.00,15.85
S19733100039,06/24/2014,3778,Family Pantry,4538 LOWER BEAVER RD,DES MOINES,50310,POINT (-93.665871 41.638673),77,Polk,1062300,FLAVORED RUM,35,"Bacardi U.S.A., Inc.",43145,Bacardi Pineapple Fusion,12,750,8.50,12.75,2,25.50,1.50,0.40
S20145100035,07/16/2014,2835,CVS Pharmacy #8538 / Cedar Falls,2302 WEST FIRST ST,CEDAR FALLS,50613,POINT (-92.472778 42.539874),07,Black Hawk,1081200,CREAM LIQUEURS,260,Diageo Americas,68039,Bailey's Original Irish Cream,4,2400,28.71,43.07,3,129.21,7.20,1.90
S23231000021,12/30/2014,4353,Kum & Go #302 / Clear Lake,2905 FOURTH AVE,CLEAR LAKE,50248,POINT (-93.652428 41.475689),17,Cerro Gordo,1062310,SPICED RUM,260,Diageo Americas,43334,Captain Morgan Spiced Rum,24,375,5.00,7.50,6,45.00,2.25,0.59
S13571500055,07/25/2013,3773,Benz Distributing,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT (-91.659875 41.97574),57,Linn,1012100,CANADIAN WHISKIES,260,Diageo Americas,11296,Crown Royal,12,750,14.75,22.13,12,265.56,9.00,2.38
S16531200008,12/27/2013,4414,KUM & GO #23 / NEOLA,29356 298TH ST,NEOLA,51559,POINT (-95.612045 41.438788),78,Pottawattamie,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64866,Fireball Cinnamon Whiskey,12,750,8.98,13.47,12,161.64,9.00,2.38
S04510500002,03/13/2012,4204,Fareway Stores #025 / Clinton,1350 11TH ST NW,CLINTON,52733,POINT (-90.211315 41.860978),23,Clinton,1011500,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.08,27.13,6,162.78,4.50,1.19
S11228400027,03/21/2013,3868,Wal-Mart 3630 / Marion,5491 BUSINESS HWY 151,MARION,52302,,57,Linn,1081200,CREAM LIQUEURS,330,Gemini Spirits,80456,Ryan's Cream Liqueur,12,750,5.69,9.04,24,216.96,18.00,4.76
S08229400009,10/10/2012,2961,Dahl's / Ep True / Wdm,5003 E P TRUE PARKWAY,WEST DES MOINES,50265,POINT (-93.772517 41.571897),77,Polk,1051010,AMERICAN GRAPE BRANDIES,259,Heaven Hill Brands,52316,Christian Bros Brandy,12,750,5.01,7.76,12,93.12,9.00,2.38
S15293800014,10/23/2013,4133,Mccoy's 1447,1447  2ND ST,WEBSTER CITY,50595,POINT (-93.83997 42.469614),40,Hamilton,1012100,CANADIAN WHISKIES,434,Luxco-St Louis,13038,Canadian Reserve Whisky,6,1750,8.99,13.49,6,80.94,10.50,2.77
S27859700097,09/14/2015,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,POINT (-91.136655 40.814666),29,Des Moines,1081390,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69637,Dr. Mcgillicuddy's Cherry Schnapps,12,1000,11.00,16.50,12,198.00,12.00,3.17
S16446900058,12/23/2013,3928,Smokin' Joe's #12 Tobacco and Liquor,465 HWY 965 UNIT G,NORTH LIBERTY,52317,POINT (-91.60759 41.739524),52,Johnson,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,80576,Arrow Peppermint Schnapps,12,750,3.42,5.13,1,5.13,0.75,0.20
S06762000086,07/25/2012,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2ND AVE NORTH,FORT DODGE,50501,POINT (-94.177165 42.508344),94,Webster,1012200,SCOTCH WHISKIES,460,Shaw Ross International Importers LL,9278,Old Smuggler Scotch Pet,6,1750,11.83,17.75,6,106.50,10.50,2.77
S06309900022,06/28/2012,4083,Fareway Stores #909 / Ankeny,109 SE ORALABOR RD,ANKENY,50021,POINT (-93.59949600000002 41.702811),77,Polk,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.13,10.70,30,321.00,52.50,13.87
