VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,2024-06-01 00:55:48,2024-06-01 01:00:02,1.0,0.8,1.0,N,239,142,1,6.5,3.5,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,2024-06-01 00:31:19,2024-06-01 00:49:54,1.0,7.73,1.0,N,141,13,1,33.1,1.0,0.5,7.62,0.0,1.0,45.72,2.5,0.0
2,2024-06-01 00:54:38,2024-06-01 01:00:06,1.0,0.64,1.0,N,261,13,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
2,2024-06-01 00:23:26,2024-06-01 00:44:34,1.0,2.68,1.0,N,166,166,1,19.8,1.0,0.5,3.34,0.0,1.0,25.64,0.0,0.0
2,2024-06-01 00:21:13,2024-06-01 00:27:22,1.0,1.0,1.0,N,90,113,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
2,2024-06-01 00:29:14,2024-06-01 00:40:17,1.0,1.83,1.0,N,113,164,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
2,2024-06-01 00:35:27,2024-06-01 01:06:15,2.0,3.78,1.0,N,162,45,1,26.8,1.0,0.5,6.36,0.0,1.0,38.16,2.5,0.0
2,2024-06-01 00:09:49,2024-06-01 00:15:56,1.0,1.37,1.0,N,144,261,1,8.6,1.0,0.5,1.0,0.0,1.0,14.6,2.5,0.0
2,2024-06-01 00:22:01,2024-06-01 00:32:35,2.0,3.5,1.0,N,209,107,1,17.0,1.0,0.5,4.4,0.0,1.0,26.4,2.5,0.0
2,2024-06-01 00:42:56,2024-06-01 00:48:52,1.0,0.89,1.0,N,79,144,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0
1,2024-06-01 00:36:36,2024-06-01 00:54:05,2.0,3.2,1.0,N,50,125,1,18.4,3.5,0.5,0.0,0.0,1.0,23.4,2.5,0.0
1,2024-06-01 00:59:28,2024-06-01 01:40:48,1.0,5.9,1.0,N,114,37,1,39.4,3.5,0.5,8.85,0.0,1.0,53.25,2.5,0.0
1,2024-06-01 00:24:44,2024-06-01 00:30:14,1.0,0.5,1.0,N,113,107,1,7.2,3.5,0.5,3.0,0.0,1.0,15.2,2.5,0.0
2,2024-06-01 00:40:55,2024-06-01 01:42:54,1.0,19.67,2.0,N,132,79,2,70.0,0.0,0.5,0.0,0.0,1.0,75.75,2.5,1.75
1,2024-06-01 00:39:33,2024-06-01 00:43:46,0.0,1.0,1.0,N,237,236,1,7.2,3.5,0.5,2.4,0.0,1.0,14.6,2.5,0.0
2,2024-06-01 00:21:16,2024-06-01 00:44:02,2.0,4.86,1.0,N,249,263,1,24.7,1.0,0.5,2.0,0.0,1.0,31.7,2.5,0.0
2,2024-06-01 00:18:04,2024-06-01 00:21:39,2.0,0.87,1.0,N,143,238,1,6.5,1.0,0.5,1.15,0.0,1.0,12.65,2.5,0.0
2,2024-06-01 00:43:04,2024-06-01 00:48:05,1.0,0.87,1.0,N,236,263,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
2,2024-06-01 00:49:41,2024-06-01 01:10:46,1.0,4.77,1.0,N,263,68,1,24.0,1.0,0.5,5.8,0.0,1.0,34.8,2.5,0.0
1,2024-06-01 00:52:10,2024-06-01 01:14:14,1.0,6.2,1.0,N,132,197,3,27.5,2.75,0.5,0.0,0.0,1.0,31.75,0.0,1.75
1,2024-06-01 00:12:17,2024-06-01 00:32:37,0.0,4.2,1.0,N,90,264,1,21.9,3.5,0.5,5.35,0.0,1.0,32.25,2.5,0.0
2,2024-06-01 00:06:06,2024-06-01 00:42:44,1.0,4.69,1.0,N,148,37,1,35.2,1.0,0.5,8.04,0.0,1.0,48.24,2.5,0.0
2,2024-06-01 00:05:06,2024-06-01 00:18:42,2.0,1.68,1.0,N,170,90,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0
2,2024-06-01 00:28:44,2024-06-01 00:42:23,1.0,2.12,1.0,N,249,261,2,14.9,1.0,0.5,0.0,0.0,1.0,19.9,2.5,0.0
